Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
NCH Corporation,6000,8500,Chemicals,"Production Chemicals/Manufacturing, Commercial Products, Industrial Distribution, Industrial Maintenance, Cleaning and Speciality Supplies, Water Treatment & Remediation, Consumer Packaged Goods- Plumbing",Privately Held,United States,Irving,EST
Sammons Financial Group Companies,468,1300,Financial Services,Financial Services,Privately Held,United States,West Des Moines,EST
Lexington Medical Center,3800,8000,Hospital & Health Care,"Heart Center, Women's Services, Cancer Center, Orthopaedics, Birth Center, Family Medicine, Urgent Care, General Surgery, Alzheimer's Care, Occupational Health, Weight-Loss Surgery, Emergency Medicine, Urgent Care, Health and Wellness",Nonprofit,United States,West Columbia,EST
QuikTrip,9200,31000,Retail,,Privately Held,United States,Tulsa,EST
Chargebee,124.4,1110,Financial Services,"Recurring Billing, Subscription Management, Payment Gateway Integration, Invoicing, Automated transactional emails, Taxes, Accounting, Revenue Recognition, SaaS Metrics, Pricing Iteration",Privately Held,United States,San Francisco,EST
AMETEK,6600,21500,Electrical & Electronic Manufacturing,,Public Company,United States,Berwyn,EST
Southwire Company,9000,7000,Electrical & Electronic Manufacturing,"Industrial, Electrical, Energy, OEM, Southwire Continuous Rod, Tools and Assembled Products, Carrollton, GA",Privately Held,United States,Carrollton,EST
Arthrex,2600,1200,Medical Equipment Manufacturing,"Orthopedic Surgical Procedures, Orthopedic Medical Education, Orthopedic Surgical Products, Medical Device Innovation, Medical Device Manufacturing, Arthroscopy & Sports Medicine, Total Joint Arthroplasty, Imaging & Resection, orthopedics, orthopedic medical device, orthobiologics, Vet Systems",Privately Held,United States,Naples,EST
S&C Electric Company,820,3000,Electrical & Electronic Manufacturing,"smart grid solutions, renewable energy integration, medium- and high-voltage switching and protection, advanced power quality systems, services for electric power systems, energy storage solutions, smart grid communication systems, distribution automation",Privately Held,United States,Chicago,EST
Bob's Discount Furniture,1200,5700,Furniture,"Furniture, Bedding, Mattresses, Furnishings, Accesories, Retail, Consumer Products, Sofa, Couch, Advertising, Merchandising, Real Estate, Finance, Accounting, Information Technology, ecomerce, advertising, media, logistics, supply chain, warhousing",Privately Held,United States,Manchester,EST
Hill's Pet Nutrition,4290,2700,Manufacturing,"pet nutrition, pet food, dog, cat, veterinarian, nutrigenomics, nutrition, consumer packaged goods",Public Company,United States,Topeka,EST
Veritiv Corporation,6090,5200,Transportation/Trucking/Railroad,"print, packaging, facility solutions, supply chain, logistics",Public Company,United States,Atlanta,EST
Wyndham Hotels & Resorts,1397,2300,Hospitality,,Public Company,United States,Parsippany,EST
Supermicro,7123,5120,Computer Hardware,"Servers, Storage, IOT, Datacenter, Enterprise Solutions, Computer Hardware, GPU Systems, Rack Solutions, Embedded, Motherboards, Enclosures, Networking, Switch, Management Software, Software Defined, Machine Learning, Power Supply, AI, Edge, Liquid Cooling",Public Company,United States,San Jose,EST
Razer Inc.,1200,1600,Consumer Electronics,"Gaming Perpherials, Gaming Systems, Software Ecosystems, Internet of things, Android, iOS, Wearable, Audio products, Consumer Electronics, Home Entertainment, Virtual Reality, Mobile, Open Source, x86, WDM",Privately Held,United States,Irvine,EST
Al Jazeera Media Network,10000,3000,Broadcast Media,"News, Broadcast, Digital, Human Rights",Privately Held,Qatar,Doha,AST
Pakistan Petroleum Limited,1010,2600,Oil & Energy,Exploration & Production of Oil & Gas,Public Company,Pakistan,Karachi,PKT
HPE Aruba Networking,5000,6500,Information Technology & Services,"Networking, Wi-Fi, 802.11ac Wi-Fi, Remote networking, Multivendor network management",Public Company,United States,Santa Clara,EST
Dawn Foods Global,1300,3500,Food Production,"Bakery Ingredients/ Products/ Service, Bakery Product Distribution, Bakery Product Manufacturing, Supermarket / In-store Bakeries, Artisanal Bakeries, Foodservice, Bakery Manufacturers",Privately Held,United States,Jackson,EST
Briggs & Stratton,500,3600,Consumer Goods,"Air Cooled Gasoline Engines, Pressure Washers, Portable Generators, Standby Generators, Energy Storage Systems, Push Lawn Mowers, Zero Turn Riding Mowers, Riding Lawn Mowers, Garden Tractors, Job Site Equipment, Snow Throwers, Commercial Turf Equipment, Lithium-Ion Batteries",Privately Held,United States,Milwaukee,EST
Corsair,1460,1800,Computer Hardware,"Gaming Systems, Consumer Electronics, Gaming Peripherals, Computer Hardware, PC Peripherals",Public Company,United States,Milpitas,EST
TUMI,750,1200,Retail,,Public Company,United States,Edison,EST
Stericycle,2060,13500,Hospital & Health Care,"Sharps and Medical Waste Disposal Service, Communication Solutions, OSHA Compliance Programs, Pharmaceutical Waste Services, Sharps Containers and Healthcare Products, Document Destruction, Patient Engagement Solutions",Public Company,United States,Bannockburn,EST
Graybar,7700,8900,Wholesale,Distributor of Electrical and Communication Products and Services,Privately Held,United States,St. Louis,EST
"EMD Serono, Inc.",1500,1600,Biotechnology,metabolic endocrinology,Privately Held,United States,Rockland,EST
Ventura Foods,3200,3000,Food Production,,Privately Held,United States,Brea,EST
Hasbro,5100,5800,Consumer Goods,"Play, Entertainment",Public Company,United States,Pawtucket,EST
Crocs,2100,3800,Consumer Goods,,Public Company,United States,Broomfield,EST
Lionsgate,4000,900,Entertainment,"Film & Television Production and Distribution, Entertainment, Movies, TV, Home Entertainment, Channels",Public Company,United States,Santa Monica,EST
QAFCO (Qatar Fertiliser Company),1800,2000,Chemicals,"Fertilizer, Ammonia, Urea, Urea Formaldehyde, Melamine, Chemicals",Public Company,Qatar,Mesaieed,AST
The AES Corporation,10700,10500,Utilities,"Energy, Clean Energy, Renewable Energy, Solar Energy, Wind Energy, Green Hydrogen",Public Company,United States,Arlington,EST
Hexion Inc.,2350,4500,Chemicals,,Privately Held,United States,Columbus,EST
Vail Resorts,2234,6220,Hospitality,"Hospitality, Retail, Transportation, Mountain, Desitination Based Travel, Guest Service, Ski Resorts, Operations, Food & Beverage, Lodging, Guest Experience, Leadership Development, Sustainability",Public Company,United States,Broomfield,EST
Benjamin Moore,1650,2875,Consumer Goods,,Privately Held,United States,Montvale,EST
Toptal,300,400,Computer Software,"Software Engineering, iOS, Ruby on Rails, LAMP, .NET, Java, Python, JavaScript, C++, C#, HTML5/CSS3, PHP, Scala, Objective-C, SharePoint, Salesforce, Android, Node.js, Django, MATLAB",Privately Held,United States,San Francisco,PST
Ellucian,780,1600,Higher Education,"Higher Education Software & Services, Student Information System, Higher Education ERP, Mobile Campus, Recruitment & Enrollment Management Software, Student Retention, Cloud Services, Talent management system, Document Management Software, Workflow Software, Digital Transformation, SaaS",Privately Held,United States,Reston,EST
