AccountID,CompanyName,Company Revenue in millions,EmployeeHeadCount,CompanyIndustry,CompanySpecialties,CompanyType,Country,City,Timezone
1000,-X-,3800,12000.0,Food Production,,Public Company,United States,,EST
1010,1st Source Bank,300,1150.0,Banking,"Retail Banking, Private Banking, Business Banking, Online Banking and Bill Payment Services, Cash Management Services, Trust and Wealth Management, Investments, Financial Planning, Insurance, Specialty Finance, Agricultural Services",Public Company,United States,South Bend,EST
1020,AAF International (American Air Filter),800,2000.0,Renewable Energy Semiconductor Manufacturing,"Clean Air Solutions, Healthcare Filtration Solutions, Cleanroom, Air Filtration, Air Pollution Control, Life Sciences",Privately Held,United States,Louisville,EST
1030,AAW Pharma Medical,80,300.0,Pharmaceutical Manufacturing,,Privately Held,Kuwait,Kuwait City,AST
1040,AFIA,80,200.0,Food and Beverage Manufacturing,,Privately Held,Saudi Arabia,Jeddah,AST
1050,ALSAYER Holding,1500,10000.0,Motor Vehicle Manufacturing,"Automotive Dealership, Heavy Machinery, Software & Hardware solutions, Insurance, Tyres, Oil & Paints, Medical, Health Care, Car Rental and Leasing, Construction Equipment, Safety - Special Vehicles & Tools, Transportation, Industrial Equipment, Material Handling",Privately Held,Kuwait,Kuwait City,AST
1060,AM General LLC,700,1500.0,Defense and Space Manufacturing,"Light Tactical Vehicle Manufacturing, Contract Vehicle Manufacturing, Defense Contractor, Service, Parts, Logistics, Training, Field Service Support, Vehicle Manufacturing, Powertrains, Vehicle Design, Armored Vehicle Manufacturing, Engineering Services",Privately Held,United States,South Bend,EST
1070,AM/NS Calvert,3000,2500.0,Mining,Flat-roll Carbon Steel,Public Company,United States,Calvert,EST
1080,AMCOL International,300,1000.0,Mining,"Barrier & Protection Systems, Oilfield and Energy Services, Foundry Solutions including Emission Reduction, Specialty Formulations including Detergents and Pet Products",Public Company,United States,Hoffman Estates,EST
1090,AMETEK,6600,21500.0,Electrical & Electronic Manufacturing,,Public Company,United States,Berwyn,EST
1100,AMSEC LLC,150,500.0,Defense and Space Manufacturing,"Marine Engineering, Maintenance Engineering, Ship Systems Assessments, Acquisition Program Development, Shipyard Industrial Engineering, Information Technology Solutions, Logistics Services, Commercial Facilities Security, Electronics, Electrical Engineering",Privately Held,United States,Virginia Beach,EST
1110,ARASCO,2200,4300.0,Food Production,"Animal Feed Manufacturing, Food Manufacturing, Agro Chemicals and Veterinary Medicine trade, Logistics, Corn Products",Privately Held,Saudi Arabia,Riyadh,AST
1120,ASICS America Corporation,2500,2000.0,Retail,,Privately Held,United States,Irvine,EST
