CompanyName,CompanyRevenue,EmployeeHeadCount,CompanyIndustry,CompanySpecialties,CompanyType,Country,City,Timezone
-X-,3800,12000,Food Production,,Public Company,United States,,EST
1st Source Bank,300,1150,Banking,"Retail Banking, Private Banking, Business Banking, Online Banking and Bill Payment Services, Cash Management Services, Trust and Wealth Management, Investments, Financial Planning, Insurance, Specialty Finance, Agricultural Services",Public Company,United States,South Bend,EST
AMETEK,6600,21500,Electrical & Electronic Manufacturing,,Public Company,United States,Berwyn,EST
ARASCO,2200,4300,Food Production,"Animal Feed Manufacturing, Food Manufacturing, Agro Chemicals and Veterinary Medicine trade, Logistics, Corn Products",Privately Held,Saudi Arabia,Riyadh,AST
AVI-SPL,1200,2200,IT Services and IT Consulting,"AV Systems Integration, Video Communications, Video Conferencing, Telepresence, Design/Build, Control Rooms, Security, Digital Signage, Collaboration Solutions, Video, Unified Communications, Onsite Support, AV/IT, Cloud-based services, Managed Services, Audio, Digital solutions, Workplace technology, experience technolgy, audio visual, voice calling, contact centers",Privately Held,United States,Tampa,EST
Abacus Consulting,200,1800,Information Technology & Services,"Strategy Consulting and Research, Enterprise Resource Planning (ERP) Solutions, Business Process Outsourcing , Human Capital Solutions, Human Resource Outsourcing, Public Sector Development, Financial Advisory Services, Customer Experience Management, Cloud Adoption and Excellence, Digital Transformation, Utilities Transformation, Big Data Solutions",Partnership,Pakistan,Lahore,Asia/Karachi
Abiomed,900,1800,Medical Device,"Cardiovascular Medical Device Manufacturer, Cardiac Surgery Medical Device Manufacturer",Public Company,United States,Danvers,EST
Abt Associates,600,1400,Research Services,"research, consulting, technical assistance, data collection, survey research",Privately Held,United States,Rockville,EST
Abt Global,800,3000,Research Services,"research, consulting, technical assistance, data collection, survey research",Privately Held,United States,Rockville,EST
Abu Dhabi National Hotels Compass ME LLC,700,4000,Food & Beverages,"Events, Hospitality, Office Boys, Cleaning, Housekeeping, Catering, Laundry, Pest Control, Healthcare, Education, Oil & Gas, Defense, Support Services, Soft Services, Facilities Management",Partnership,United Arab Emirates,Abu Dhabi,GST
Accion Labs,300,1800,IT Services and IT Consulting,"Cloud, Mobile development, UI/UX design, social media and social commerce, Web 2.0 enablement, Business Intelligence, SaaS, Analytics, Data Warehousing",Privately Held,United States,Bridgeville,EST
Acuity Brands,3300,12000,"Appliances, Electrical, and Electronics Manufacturing","Lighting Fixtures, Lighting Controls, Lighting Solutions, Technology, IoT, Smart Buildings, Internet of Things, Industry Solutions, LED Lighting, Building Automation",Public Company,United States,Atlanta,EST
Address Hotels + Resorts,1200,1500,Hospitality,,Public Company,United Arab Emirates,Dubai,GST
Advanced Bionics,400,1200,Medical Equipment Manufacturing,"Cochlear Implants, Medical Devices, Technology",Public Company,United States,Santa Clarita,EST
Advanced Military Maintenance Repair & Overhaul Center (AMMROC),1000,2200,Airlines and Aviation,,Privately Held,United Arab Emirates,Abu Dhabi,GST
Advocate Condell Medical Center,800,2800,Hospitals and Health Care,,Nonprofit,United States,Libertyville,EST
Advocate Lutheran General Hospital,900,3500,Hospitals and Health Care,,Nonprofit,United States,Park Ridge,EST
Affirm,760,5000,Financial Services,"eCommerce, Payments, Installment Loans, Millennials, Financial Services, Online Payments, Retail, Personal Finance, FinTech, Financial Technology, Financial Management",Public Company,United States,San Francisco,EST
AgileThought,200,2200,IT Services and IT Consulting,"Web & Mobile Application Development, User Interface & Experience Design (UI/UX), SharePoint Solutions, Agile Coaching & Training, Business Intelligence, Cloud Solutions & Managed Services, Application Lifecycle Management; ALM & DevOps, Rapid Prototyping, DevOps, Predictive Analytics, Machine Learning, Cloud, Azure, Agile Transformation, Agile, DevSecOps, Consulting, Automation",Privately Held,United States,Irving,EST
Air Arabia,2300,2000,Airlines and Aviation,,Public Company,United Arab Emirates,Sharjah,GST
Ajman University,150,900,Higher Education,,Educational Institution,United Arab Emirates,Ajman,GST
Al Ahli Bank of Kuwait,900,2000,Banking,"Corporate, Investment, Private, Financing, Retail",Public Company,Kuwait,Safat,AST
